Average,Year,High.Value,Low.Value,CPI.Average,High.2018,Low.2018,State_y_Arizona,State_y_Arkansas,State_y_California,State_y_Colorado,State_y_Connecticut,State_y_Delaware,State_y_District of Columbia,State_y_Florida,State_y_Georgia,State_y_Hawaii,State_y_Idaho,State_y_Illinois,State_y_Indiana,State_y_Iowa,State_y_Kansas,State_y_Kentucky,State_y_Maine,State_y_Maryland,State_y_Massachusetts,State_y_Michigan,State_y_Minnesota,State_y_Missouri,State_y_Montana,State_y_Nebraska,State_y_Nevada,State_y_New Hampshire,State_y_New Jersey,State_y_New Mexico,State_y_New York,State_y_North Carolina,State_y_North Dakota,State_y_Ohio,State_y_Oklahoma,State_y_Oregon,State_y_Pennsylvania,State_y_Rhode Island,State_y_South Dakota,State_y_Texas,State_y_Utah,State_y_Vermont,State_y_Virginia,State_y_Washington,State_y_West Virginia,State_y_Wisconsin,State_y_Wyoming,New_Avg
127666.0,1996,4.75,4.75,156.85,7.58,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low
69353.67,1996,4.25,4.25,156.85,6.78,6.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low
161508.92,1996,4.25,4.25,156.85,6.78,6.78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
142677.83,1996,3.0,3.0,156.85,4.79,4.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
149685.33,1996,4.27,4.27,156.85,6.82,6.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
163092.17,1996,5.25,5.25,156.85,8.38,8.38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
132707.08,1996,4.65,4.65,156.85,7.42,7.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
104466.42,1996,3.25,3.25,156.85,5.19,5.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low
238987.58,1996,5.25,5.25,156.85,8.38,8.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium
81674.92,1996,4.65,4.65,156.85,7.42,7.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low
